fecha,punto_muestreo,voluntario,turbidez_ntu,lluvia_reciente,observaciones
2026-06-01,Arroyo El Sauce,Voluntario A,8.2,No,Agua clara
2026-06-01,Rio Norte - Puente,Voluntario B,42.5,Si,Turbio tras lluvia
2026-06-03,Canal Sur,Voluntario C,15.1,No,
2026-06-03,Arroyo El Sauce,Voluntario A,7.9,No,Similar a medicion previa
2026-06-05,Laguna Este,Voluntario D,30.4,No,Posible actividad de fauna
2026-06-05,Rio Norte - Puente,Voluntario B,25.0,No,Bajo tras cesar la lluvia
2026-06-08,Canal Sur,Voluntario C,60.8,Si,Muy turbio posible obra cercana
2026-06-08,Arroyo El Sauce,Voluntario E,9.0,No,
2026-06-10,Laguna Este,Voluntario D,28.6,No,
2026-06-12,Rio Norte - Puente,Voluntario F,18.3,No,
2026-06-14,Canal Sur,Voluntario C,22.4,No,Recuperacion tras lluvia del 08/06
2026-06-15,Arroyo El Sauce,Voluntario A,8.5,No,Consistente con linea base
